city,neighbourhood,property_type,accommodates,bedrooms,bathrooms,beds,review_score,reviews_count,superhost,amenity_count,cleaning_fee,month,price
Bengaluru,Whitefield,Private room,5,1,2,1,5.0,90,0,9,20.0,1,27.93
Dubai,Deira,Entire home/apt,2,2,1,3,4.51,53,0,12,2.0,5,61.14
Austin,Downtown,Private room,7,1,1,2,4.7,34,0,11,34.0,1,54.07
Paris,Latin Quarter,Entire home/apt,3,1,1,2,4.68,95,1,11,15.0,2,97.39
London,Westminster,Entire home/apt,5,1,1,1,4.8,95,0,7,6.0,9,115.67
Tokyo,Shinjuku,Entire home/apt,9,3,1,3,4.88,114,1,6,13.0,3,121.8
New York,Queens,Private room,1,1,1,2,4.1,101,0,10,14.0,11,55.0
Paris,Montmartre,Shared room,3,1,1,2,4.08,50,0,10,27.0,9,62.48
Bengaluru,Indiranagar,Private room,1,1,1,2,3.67,73,0,10,14.0,11,18.37
Mumbai,Colaba,Entire home/apt,5,2,1,3,4.89,17,0,9,31.0,1,60.41
New York,Brooklyn,Entire home/apt,6,2,1,3,4.33,66,0,15,4.0,4,96.06
San Francisco,Nob Hill,Entire home/apt,8,1,1,1,4.45,94,0,16,19.0,7,175.38
Paris,Le Marais,Shared room,1,2,1,3,4.88,10,1,18,1.0,1,56.73
London,Kensington,Private room,7,1,1,2,4.64,64,0,16,24.0,3,98.61
Sydney,Surry Hills,Entire home/apt,3,2,1,2,4.13,58,0,16,32.0,12,126.8
Austin,Hyde Park,Entire home/apt,4,2,1,3,5.0,6,0,10,18.0,4,72.78
Austin,Downtown,Private room,4,1,1,1,4.56,73,0,13,20.0,7,62.57
New York,Brooklyn,Entire home/apt,2,2,1,2,4.29,66,0,17,16.0,8,124.24
New York,Staten Island,Entire home/apt,3,2,1,2,4.34,67,0,6,7.0,12,78.94
Austin,Zilker,Entire home/apt,3,2,1,3,4.28,41,1,12,5.0,6,73.04
London,Hackney,Entire home/apt,5,2,1,3,4.46,77,0,8,15.0,2,90.75
Dubai,Marina,Entire home/apt,9,1,1,1,4.34,36,0,20,0.0,10,77.33
Dubai,Downtown,Entire home/apt,9,3,1,4,4.66,83,0,8,28.0,7,161.8
Austin,South Congress,Entire home/apt,6,1,1,2,4.76,90,0,11,38.0,4,93.85
New York,Staten Island,Entire home/apt,8,1,1,2,4.62,153,1,7,23.0,7,113.82
San Francisco,Nob Hill,Entire home/apt,5,1,1,2,4.68,49,1,17,39.0,10,164.41
San Francisco,Mission,Entire home/apt,4,3,1,3,4.39,93,0,16,28.0,8,174.04
Paris,Bastille,Entire home/apt,2,1,1,2,3.97,11,0,14,36.0,12,111.45
New York,Manhattan,Private room,3,2,1,3,4.39,48,0,13,30.0,4,92.14
Austin,Hyde Park,Entire home/apt,6,1,1,1,4.48,69,1,21,11.0,9,74.51
Dubai,Marina,Private room,5,1,1,2,4.44,69,0,17,6.0,9,46.96
Paris,Latin Quarter,Entire home/apt,8,1,1,1,4.9,53,0,10,27.0,10,126.62
Paris,Bastille,Entire home/apt,8,3,1,3,4.41,3,0,12,5.0,10,86.98
London,Hackney,Entire home/apt,4,2,1,2,4.61,79,0,9,2.0,7,116.67
Sydney,Surry Hills,Private room,6,3,1,4,4.76,18,0,8,36.0,9,72.65
Paris,1st Arr.,Hotel room,1,2,1,3,4.37,43,0,11,4.0,9,98.0
San Francisco,Mission,Entire home/apt,4,3,1,4,4.38,117,1,8,34.0,1,130.02
London,Greenwich,Entire home/apt,2,3,1,3,5.0,72,1,9,13.0,9,114.17
New York,Staten Island,Shared room,4,1,1,2,4.6,42,0,9,0.0,6,32.31
London,Kensington,Entire home/apt,2,1,2,1,4.83,114,0,9,33.0,6,150.23
San Francisco,Nob Hill,Entire home/apt,4,2,1,3,4.9,55,0,21,28.0,4,163.71
Dubai,Downtown,Private room,1,1,1,2,4.07,108,0,2,22.0,7,74.88
Mumbai,Powai,Private room,4,2,1,2,4.76,60,0,15,17.0,12,31.34
Dubai,Bur Dubai,Entire home/apt,7,2,1,3,4.17,13,0,21,29.0,11,86.49
New York,Manhattan,Entire home/apt,9,1,1,1,4.88,62,0,12,1.0,10,144.83
Tokyo,Asakusa,Entire home/apt,8,2,1,3,4.56,21,0,7,36.0,12,111.71
Dubai,Marina,Entire home/apt,8,2,1,2,4.68,96,0,11,35.0,6,151.93
San Francisco,SoMa,Entire home/apt,5,1,1,2,4.68,93,0,2,32.0,5,139.68
Mumbai,Powai,Entire home/apt,7,1,1,1,4.66,96,1,20,1.0,11,32.91
Tokyo,Roppongi,Entire home/apt,5,1,1,2,4.44,47,0,15,10.0,4,85.29
Austin,East Austin,Entire home/apt,9,1,1,1,5.0,35,1,9,10.0,9,83.22
San Francisco,Nob Hill,Entire home/apt,2,2,1,3,4.8,79,0,14,36.0,5,170.92
Austin,East Austin,Private room,6,2,1,2,4.42,136,0,13,32.0,7,81.2
New York,Manhattan,Entire home/apt,8,2,1,3,4.68,1,0,18,14.0,1,114.45
Paris,Montmartre,Private room,4,2,1,2,4.63,40,0,10,37.0,4,93.54
Tokyo,Roppongi,Entire home/apt,9,1,1,2,5.0,139,0,17,9.0,8,152.52
Mumbai,Bandra,Entire home/apt,7,2,1,3,5.0,65,0,20,36.0,8,88.63
Dubai,Downtown,Private room,1,2,1,3,4.48,41,0,14,0.0,6,45.63
Bengaluru,MG Road,Entire home/apt,8,2,1,3,4.77,112,0,17,37.0,2,68.65
Bengaluru,Koramangala,Entire home/apt,4,1,1,2,4.53,72,0,17,21.0,10,44.29
San Francisco,SoMa,Private room,4,3,1,4,5.0,62,0,8,18.0,1,82.59
Tokyo,Shinjuku,Entire home/apt,7,2,2,3,3.87,10,0,10,28.0,7,126.81
Bengaluru,Koramangala,Private room,2,1,1,1,4.93,110,0,8,7.0,6,17.7
Sydney,Newtown,Private room,3,1,1,2,5.0,76,1,3,17.0,7,49.39
Dubai,Bur Dubai,Entire home/apt,4,3,1,3,4.42,101,0,18,11.0,4,67.82
London,Westminster,Entire home/apt,3,1,1,2,4.41,75,1,16,31.0,1,125.5
San Francisco,SoMa,Entire home/apt,9,1,2,1,4.66,52,1,5,22.0,5,142.16
Mumbai,Dadar,Private room,2,1,1,1,4.58,43,0,7,26.0,8,30.61
San Francisco,SoMa,Entire home/apt,6,1,1,2,3.95,20,1,10,35.0,1,130.17
Bengaluru,Koramangala,Entire home/apt,8,2,1,2,3.99,55,0,13,16.0,11,41.1
San Francisco,Mission,Entire home/apt,6,1,1,1,5.0,58,0,15,36.0,12,144.65
Austin,East Austin,Entire home/apt,5,1,1,1,4.68,137,0,18,36.0,6,114.9
Mumbai,Bandra,Hotel room,1,2,1,2,4.75,68,0,16,13.0,5,47.1
Bengaluru,Koramangala,Entire home/apt,4,2,1,3,4.58,33,0,18,23.0,3,64.97
San Francisco,Nob Hill,Private room,2,1,1,1,4.66,115,0,12,1.0,7,93.1
Austin,South Congress,Private room,7,1,1,2,5.0,32,0,23,9.0,9,45.69
Bengaluru,Indiranagar,Entire home/apt,7,2,1,3,4.25,17,0,11,23.0,4,54.13
Dubai,Bur Dubai,Private room,3,1,1,1,4.58,86,0,17,9.0,11,57.16
San Francisco,SoMa,Entire home/apt,2,2,1,2,5.0,37,0,13,37.0,8,162.47
Sydney,Manly,Entire home/apt,3,1,1,1,4.79,103,0,11,14.0,6,100.22
Tokyo,Shibuya,Private room,2,1,1,1,4.92,61,0,14,12.0,1,76.88
Mumbai,Powai,Entire home/apt,2,2,1,2,4.78,94,0,18,6.0,5,48.27
Dubai,Downtown,Entire home/apt,3,1,1,1,4.73,44,1,10,31.0,11,101.88
New York,Brooklyn,Entire home/apt,5,1,1,1,4.79,61,0,15,28.0,6,136.48
Paris,Latin Quarter,Entire home/apt,3,2,1,3,5.0,0,0,13,6.0,11,86.81
New York,Queens,Entire home/apt,4,1,2,2,4.84,58,0,12,28.0,11,117.72
Paris,Latin Quarter,Private room,6,1,1,1,4.17,126,0,11,37.0,2,87.67
Austin,Downtown,Entire home/apt,9,2,1,3,4.17,66,0,20,6.0,3,54.15
London,Camden,Private room,3,1,1,2,4.36,132,0,8,1.0,8,55.43
Tokyo,Roppongi,Entire home/apt,2,1,1,1,4.92,110,0,16,16.0,12,136.35
Sydney,Bondi,Entire home/apt,5,3,1,4,4.67,21,0,10,25.0,6,127.5
Bengaluru,Koramangala,Entire home/apt,7,2,1,3,5.0,96,0,21,7.0,8,54.62
San Francisco,Sunset,Entire home/apt,7,1,2,1,4.64,98,1,22,13.0,11,102.79
San Francisco,Sunset,Entire home/apt,6,3,1,3,4.78,37,0,26,17.0,3,116.57
Mumbai,Colaba,Entire home/apt,4,1,1,1,4.46,3,0,10,20.0,10,54.14
