city,neighbourhood,property_type,accommodates,bedrooms,bathrooms,beds,review_score,reviews_count,superhost,amenity_count,cleaning_fee,month,price,suggested_price,price_delta,quality_index
London,Kensington,Private room,6,1,1,1,5.0,64,0,14,32.0,5,98.01,93.06130999440128,-4.948690005598721,2.7800000000000002
Sydney,Surry Hills,Entire home/apt,6,2,1,3,4.73,49,0,8,12.0,7,94.89,102.32226455330333,7.432264553303327,2.5250000000000004
Bengaluru,Koramangala,Entire home/apt,6,1,1,1,4.67,32,0,12,6.0,1,55.17,34.396416666666674,-20.773583333333328,2.575
San Francisco,Sunset,Private room,1,1,1,2,5.0,51,0,11,19.0,3,58.44,69.02960834236562,10.589608342365622,2.72
Tokyo,Shinjuku,Private room,1,1,1,2,4.62,59,0,4,37.0,11,71.77,75.66090893163057,3.8909089316305767,2.39
San Francisco,SoMa,Private room,5,2,1,3,4.72,58,0,10,21.0,2,70.88,63.41778270777637,-7.462217292223627,2.56
London,Kensington,Private room,6,1,1,2,4.88,41,0,20,30.0,10,88.9,88.11222407928591,-0.7877759207140969,2.84
Dubai,Marina,Entire home/apt,9,2,1,3,4.77,55,0,14,3.0,9,107.12,90.77775430093747,-16.34224569906253,2.665
Tokyo,Roppongi,Entire home/apt,4,2,1,2,4.75,106,0,2,33.0,3,132.55,128.85908202463347,-3.6909179753665455,2.415
New York,Queens,Private room,1,1,1,2,4.68,70,1,14,33.0,2,72.23,73.54898747643465,1.3189874764346428,2.67
Paris,Bastille,Entire home/apt,3,1,1,2,4.44,32,0,14,30.0,12,100.33,122.0018659314881,21.6718659314881,2.5
Paris,Montmartre,Private room,6,1,1,1,4.3,71,0,12,16.0,8,73.56,61.91046902864918,-11.64953097135082,2.3899999999999997
Tokyo,Roppongi,Entire home/apt,2,2,1,3,4.9,66,1,7,33.0,7,160.69,125.24470677181755,-35.44529322818245,2.64
New York,Bronx,Private room,3,1,1,1,4.53,35,0,4,11.0,6,50.52,48.336525139964614,-2.183474860035389,2.345
Tokyo,Shinjuku,Entire home/apt,5,1,1,2,4.09,56,0,17,22.0,3,101.43,107.52244119102427,6.092441191024264,2.385
Tokyo,Asakusa,Entire home/apt,4,2,1,3,4.47,76,0,9,18.0,5,90.65,113.45823120796216,22.80823120796215,2.415
Austin,East Austin,Entire home/apt,3,1,1,1,5.0,10,0,14,4.0,6,69.13,64.08308333333339,-5.046916666666604,2.7800000000000002
Mumbai,Powai,Entire home/apt,7,2,1,3,4.28,70,0,10,28.0,9,47.06,52.837250000000076,5.777250000000073,2.3400000000000003
New York,Manhattan,Entire home/apt,6,2,1,3,4.26,107,0,2,24.0,1,119.6,122.97188108892551,3.3718810889255195,2.17
London,Greenwich,Entire home/apt,7,2,1,2,4.89,44,1,14,0.0,1,77.75,91.46355944214292,13.713559442142923,2.7749999999999995
Paris,Bastille,Entire home/apt,9,2,1,3,5.0,86,0,17,7.0,4,115.27,111.46722501675566,-3.8027749832443334,2.84
Austin,East Austin,Private room,7,1,1,1,4.87,23,0,7,18.0,10,15.72,28.601782080313967,12.881782080313966,2.575
Tokyo,Shibuya,Private room,5,2,1,3,4.42,79,0,2,2.0,6,58.22,53.51401385510808,-4.7059861448919165,2.25
New York,Bronx,Entire home/apt,4,2,1,3,4.65,42,0,11,33.0,11,98.82,120.68297494710127,21.86297494710128,2.5450000000000004
New York,Brooklyn,Entire home/apt,3,2,1,2,4.22,135,0,7,27.0,2,100.17,118.07510799491493,17.90510799491493,2.25
Paris,Montmartre,Private room,5,1,1,2,4.67,62,0,3,32.0,11,74.06,82.05722257916283,7.997222579162823,2.395
Tokyo,Asakusa,Private room,1,1,1,1,4.52,56,0,10,0.0,3,25.76,37.99221739682693,12.232217396826929,2.46
London,Kensington,Private room,3,1,1,2,4.31,75,1,9,1.0,10,52.65,49.370966024167664,-3.279033975832334,2.385
Bengaluru,MG Road,Entire home/apt,8,1,1,1,4.98,99,0,13,11.0,3,42.44,41.37658333333331,-1.06341666666669,2.75
Paris,Montmartre,Private room,2,1,1,2,4.51,21,0,8,28.0,10,74.9,73.99918102807185,-0.9008189719281603,2.415
Austin,Downtown,Private room,7,1,1,1,3.68,53,1,6,15.0,9,51.23,48.62323218565666,-2.6067678143433355,2.01
Dubai,Downtown,Entire home/apt,4,2,1,3,4.57,79,1,13,10.0,9,99.55,96.3330664453054,-3.2169335546945916,2.5949999999999998
New York,Queens,Entire home/apt,5,1,1,2,4.36,6,0,16,4.0,11,89.9,81.98906639833565,-7.910933601664354,2.5
Tokyo,Roppongi,Entire home/apt,4,1,1,1,4.99,47,0,6,1.0,6,104.84,96.63815002065105,-8.20184997934895,2.615
Austin,Downtown,Entire home/apt,4,2,1,2,5.0,8,0,6,27.0,5,108.38,100.73749999999986,-7.64250000000014,2.62
Bengaluru,MG Road,Private room,3,1,1,2,4.62,135,0,22,26.0,6,41.85,48.12591666666663,6.275916666666632,2.75
Tokyo,Asakusa,Private room,5,1,1,2,4.91,65,0,2,22.0,7,70.04,70.80584043519357,0.7658404351935673,2.495
Sydney,Bondi,Entire home/apt,5,3,1,4,4.67,21,0,10,25.0,6,127.5,125.22330989534609,-2.276690104653909,2.535
Austin,Hyde Park,Entire home/apt,6,2,1,3,4.52,66,0,21,34.0,11,96.66,101.67930555555559,5.01930555555559,2.6799999999999997
Paris,Latin Quarter,Private room,4,1,1,1,4.63,18,1,9,15.0,6,42.7,59.21835827690336,16.518358276903356,2.545
Bengaluru,MG Road,Entire home/apt,8,1,1,1,4.49,118,0,14,22.0,9,39.32,54.414666666666704,15.094666666666704,2.5250000000000004
